RECTIME,SO2,NOx,CO2,DUST,O2,TEMPERATURE,FLOW,PH
数据描述,二氧化硫,氮氧化物,二氧化碳,粉尘,氧气,温度,流量,酸碱度
2023/01/01 00:00,45.2,120.5,6.8,12.3,20.5,180.2,1200.5,7.2
2023/01/01 01:00,42.6,118.9,6.7,11.8,20.8,178.5,1190.2,7.3
2023/01/01 02:00,40.1,115.2,6.5,10.9,21.0,175.6,1185.6,7.4
2023/01/01 03:00,38.7,112.4,6.3,10.5,21.2,172.4,1180.1,7.2
2023/01/01 04:00,37.9,110.1,6.1,10.2,21.5,170.5,1175.8,7.1
2023/01/01 05:00,39.2,111.8,6.2,10.8,21.3,171.8,1178.2,7.0
2023/01/01 06:00,43.5,116.7,6.6,11.2,20.9,176.2,1187.4,7.2
2023/01/01 07:00,48.6,125.4,7.0,12.8,20.1,182.6,1210.9,7.3
2023/01/01 08:00,52.3,132.8,7.4,13.5,19.5,189.3,1225.6,7.4
2023/01/01 09:00,55.1,138.2,7.8,14.2,19.0,195.7,1240.2,7.5
2023/01/01 10:00,58.4,142.5,8.1,14.8,18.5,201.3,1255.8,7.6
2023/01/01 11:00,60.2,145.8,8.4,15.1,18.0,205.6,1265.4,7.5
2023/01/01 12:00,61.5,148.2,8.6,15.4,17.8,208.2,1270.8,7.4
2023/01/01 13:00,60.8,146.3,8.5,15.2,18.2,206.5,1268.3,7.3
2023/01/01 14:00,58.9,143.6,8.2,14.9,18.7,202.8,1260.1,7.2
2023/01/01 15:00,56.2,139.4,7.9,14.5,19.1,198.1,1248.5,7.1
2023/01/01 16:00,53.7,134.9,7.5,13.8,19.5,192.4,1235.2,7.0
2023/01/01 17:00,50.4,129.7,7.1,13.1,20.0,186.9,1220.7,7.1
2023/01/01 18:00,48.2,124.3,6.9,12.5,20.3,182.1,1208.4,7.2
2023/01/01 19:00,46.5,121.8,6.8,12.0,20.6,179.4,1198.9,7.3
2023/01/01 20:00,45.3,119.7,6.7,11.7,20.8,177.2,1193.5,7.4
2023/01/01 21:00,44.2,117.5,6.6,11.5,21.0,175.8,1188.2,7.3
2023/01/01 22:00,43.1,115.8,6.5,11.2,21.2,174.1,1184.6,7.2
2023/01/01 23:00,42.4,114.2,6.4,11.0,21.4,172.9,1181.0,7.1 
